Platform Type,Center,Platform,Level,Sample,Barcode,File Name
METADATA,JHU_USC,HumanMethylation450,n/a,selected_samples,N/A,jhu-usc.edu_BRCA.HumanMethylation450.1.9.0.idf.txt
METADATA,JHU_USC,HumanMethylation450,n/a,selected_samples,N/A,jhu-usc.edu_BRCA.HumanMethylation450.1.9.0.sdrf.txt
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-PL-A8LX-01,TCGA-PL-A8LX-01A-11D-A41Q-05,3999997079_R01C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-PL-A8LX-01,TCGA-PL-A8LX-01A-11D-A41Q-05,3999997079_R01C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-Z7-A8R6-01,TCGA-Z7-A8R6-01A-11D-A41Q-05,3999997079_R01C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-Z7-A8R6-01,TCGA-Z7-A8R6-01A-11D-A41Q-05,3999997079_R01C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-PL-A8LY-01,TCGA-PL-A8LY-01A-11D-A41Q-05,3999997079_R02C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-PL-A8LY-01,TCGA-PL-A8LY-01A-11D-A41Q-05,3999997079_R02C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-S3-AA17-01,TCGA-S3-AA17-01A-11D-A41Q-05,3999997079_R03C01_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-S3-AA17-01,TCGA-S3-AA17-01A-11D-A41Q-05,3999997079_R03C01_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-PL-A8LV-01,TCGA-PL-A8LV-01A-21D-A41Q-05,3999997079_R03C02_Grn.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-PL-A8LV-01,TCGA-PL-A8LV-01A-21D-A41Q-05,3999997079_R03C02_Red.idat
DNA Methylation,JHU_USC,HumanMethylation450,1,TCGA-S3-AA12-01,TCGA-S3-AA12-01A-11D-A41Q-05,3999997079_R04C01_Grn.idat
