"Gene Region","UCSC Region","nCpG","Sign","medQval","medBetaCoef","medDelta","cpgs","denominator"
"WASH5P Body","WASH5P OpenSea","1","-","0.00355251040469363","0.392063939637068","0.0161806216225884","cg13869341","2"
"FAM41C Body","FAM41C N_Shore","1","-","1.63160775955068e-11","0.607409823168805","-0.00695748014569164","cg05898754","6"
"FAM41C TSS1500","FAM41C OpenSea","1","+","6.45685390956667e-29","-1.10933637266048","0.00706753073092981","cg18147296","4"
"FLJ39609 TSS200","FLJ39609 Island","4","- - - -","2.85158492428965e-05","0.572699242789094","0.00682980839973141","cg08029603;cg16347928;cg22699361;cg21786289","5"
"FLJ39609 TSS1500","FLJ39609 S_Shore","1","-","0.00479797920106027","0.267849623821707","0.00933147409899221","cg15105996","6"
"SAMD11 TSS1500","SAMD11 Island","1","+","0.000604912046500763","-0.384606958991508","0.0257836765704468","cg03725447","7"
"SAMD11 5'UTR","SAMD11 Island","2","+ +","0.00145124378171102","-0.455254058554259","-0.0113182262361996","cg05527507;cg14324200","3"
"SAMD11 Body","SAMD11 S_Shore","12","+ - - - - + + - - + + +","0.000125121150375157","0.018257353208919","0.000630242398558578","cg13856810;cg02896266;cg13806162;cg00976181;cg10711230;cg01727431;cg02439789;cg00582671;cg06036236;cg10827460;cg15742605;cg09756115","38"
"NOC2L 3'UTR","NOC2L S_Shore","1","+","1.59596850394661e-05","-0.562376115123248","0.0316253157571224","cg23731742","1"
"SAMD11 3'UTR","SAMD11 S_Shore","1","+","1.59596850394661e-05","-0.562376115123248","0.0316253157571224","cg23731742","1"
"NOC2L Body","NOC2L N_Shelf","5","+ - + + -","0.000679236271235052","-0.233405355703368","0.00303493672546323","cg06511482;cg17153432;cg00113194;cg20322444;cg13060902","23"
"KLHL17 Body","KLHL17 Island","2","+ -","0.00418548318703453","0.038647219557044","-0.00281388587298434","cg09789536;cg07582955","16"
"PLEKHN1 TSS1500","PLEKHN1 Island","1","+","8.45689922797947e-06","-0.347531015073204","0.00413999850659752","cg00328058","6"
"KLHL17 3'UTR","KLHL17 Island","1","+","8.45689922797947e-06","-0.347531015073204","0.00413999850659752","cg00328058","3"
"PLEKHN1 TSS200","PLEKHN1 Island","1","-","9.97141846995987e-12","0.823122559129846","-0.00928699317857806","cg07390924","4"
"PLEKHN1 Body","PLEKHN1 N_Shore","5","+ + + + +","1.46898365370014e-13","-1.16972640361473","0.00766682163197174","cg23207077;cg22381068;cg22481263;cg07195057;cg06818851","13"
"PLEKHN1 3'UTR","PLEKHN1 N_Shelf","1","+","8.85698564582059e-07","-0.666816554115907","0.00711920177252767","cg16352072","1"
"C1orf170 Body","C1orf170 N_Shelf","3","- - -","2.71103920396914e-07","0.654231959021416","0.00936371479242692","cg22699004;cg22599150;cg16349774","10"
"C1orf170 TSS1500","C1orf170 N_Shore","3","- - -","1.05644961389635e-07","0.638685813892768","0.00891173389074146","cg11235921;cg11782208;cg10381813","4"
"ISG15 Body","ISG15 Island","3","- - -","1.50223127563555e-05","0.641631883682684","-0.000670891613697044","cg20062691;cg03811829;cg04788999","4"
"AGRN Body","AGRN N_Shore","15","+ + + + + + + - + + + + + - -","3.15820829315639e-06","-0.553311382118777","0.000209658148784986","cg07787977;cg02632261;cg25774148;cg17021880;cg02288964;cg02341264;cg17928920;cg15840462;cg18147233;cg20594982;cg01711077;cg09792712;cg15469001;cg24730157;cg13244315","76"
"C1orf159 Body","C1orf159 Island","11","- + + + + + + + + + -","3.98510513506753e-05","-0.614190196969276","0.0184693150081571","cg08039585;cg15565004;cg19999567;cg19856606;cg12743165;cg04315086;cg09358422;cg12612065;cg16060740;cg13870982;cg14010231","27"
"C1orf159 5'UTR","C1orf159 N_Shore","3","- - -","2.37739179477352e-05","0.656844356096604","0.00594359554827917","cg26405545;cg24709745;cg27302190","29"
"C1orf159 TSS1500","C1orf159 S_Shore","1","-","0.00808976845054065","0.264055022801517","-0.00485678300739351","cg10126324","7"
"MIR200B TSS1500","MIR200B S_Shore","5","+ + + + +","0.000122694429655463","-0.554158664984282","-0.00422946137697466","cg22109930;cg13449535;cg07123481;cg14144728;cg01537494","5"
"MIR200A TSS1500","MIR200A S_Shore","4","+ + + +","2.14123415611845e-05","-0.459429930762437","-0.002774967545571","cg01537494;cg02825344;cg02331673;cg11203990","7"
"MIR200B TSS200","MIR200B S_Shore","3","+ + +","4.28239346339902e-05","-0.393201843360288","-0.00278493609698727","cg02825344;cg02331673;cg11203990","4"
