"Gene Region","UCSC Region","nCpG","Sign","medQval","medBetaCoef","medDelta","cpgs","denominator"
"WASH5P Body","WASH5P OpenSea","1","-","0.00490326836667254","0.179540848484731","0.0127218948585299","cg13869341","2"
"LOC643837 Body","LOC643837 OpenSea","1","-","0.00651479900662537","0.171808539124089","0.0117390053303521","cg16736630","10"
"FAM41C Body","FAM41C N_Shore","1","-","1.45033678308804e-17","0.50944677547045","0.00777854859339977","cg05898754","6"
"FAM41C TSS1500","FAM41C OpenSea","3","+ + -","0.000503709158457022","-0.157166389354101","-0.000416949414712403","cg18147296;cg05597748;cg10988531","4"
"FLJ39609 TSS200","FLJ39609 Island","5","- - - - -","0.000104216312764187","0.373418977349743","-0.00344935549433062","cg08029603;cg16347928;cg22699361;cg03890988;cg21786289","5"
"SAMD11 TSS1500","SAMD11 Island","2","+ +","0.00199160920411741","-0.306773908892739","0.00467292986614369","cg03725447;cg06091566","7"
"SAMD11 5'UTR","SAMD11 Island","1","+","0.00115442526453179","-0.278385577961826","0.0324379842513515","cg05527507","3"
"SAMD11 Body","SAMD11 S_Shore","16","+ - - - - + + - - - + - + + + +","4.56850943318993e-08","0.0214116371727419","0.00854345550947967","cg13856810;cg02896266;cg13806162;cg00976181;cg10711230;cg01727431;cg02439789;cg06036236;cg13904806;cg04121631;cg15896339;cg12454161;cg09988062;cg10827460;cg15742605;cg09756115","38"
"NOC2L 3'UTR","NOC2L S_Shore","1","+","0.00340268632465985","-0.281755360484596","0.0262207060564864","cg23731742","1"
"SAMD11 3'UTR","SAMD11 S_Shore","1","+","0.00340268632465985","-0.281755360484596","0.0262207060564864","cg23731742","1"
"NOC2L Body","NOC2L N_Shelf","9","+ - + + - - - - -","0.00032241708751171","0.152949060498623","0.00784802451209768","cg06511482;cg17153432;cg00113194;cg20322444;cg07983659;cg11733071;cg07701223;cg13060902;cg15684274","23"
"KLHL17 1stExon","KLHL17 Island","1","+","0.00770798129859517","-0.0710288345981137","0.00459711768852847","cg11132698","1"
"KLHL17 5'UTR","KLHL17 Island","1","+","0.00770798129859517","-0.0710288345981137","0.00459711768852847","cg11132698","1"
"NOC2L TSS1500","NOC2L Island","1","+","0.00770798129859517","-0.0710288345981137","0.00459711768852847","cg11132698","5"
"KLHL17 Body","KLHL17 Island","5","+ - - - -","3.45115869712796e-05","0.224990312541127","0.0100326580943114","cg09789536;cg07582955;cg07696918;cg11084308;cg03148373","16"
"PLEKHN1 TSS1500","PLEKHN1 Island","2","- +","0.000115375909890919","-0.082114564448187","0.0101405653357727","cg15648958;cg00328058","6"
"KLHL17 3'UTR","KLHL17 Island","2","- +","0.000115375909890919","-0.082114564448187","0.0101405653357727","cg15648958;cg00328058","3"
"PLEKHN1 TSS200","PLEKHN1 Island","1","-","9.49247427970672e-20","0.686415317390958","-0.00695980265746377","cg07390924","4"
"PLEKHN1 Body","PLEKHN1 Island","7","+ + + + + + +","7.611428770633e-11","-0.593475797582651","0.0289919696834524","cg12536471;cg06324192;cg23207077;cg22381068;cg22481263;cg07195057;cg06818851","13"
"PLEKHN1 3'UTR","PLEKHN1 N_Shelf","1","+","3.38907898702363e-17","-0.642385557090577","0.0152310550404244","cg16352072","1"
"C1orf170 Body","C1orf170 S_Shore","4","- - - -","1.69684546407477e-11","0.636420887397419","0.00798073773550739","cg08843537;cg22699004;cg22599150;cg16349774","10"
"C1orf170 TSS1500","C1orf170 N_Shore","2","- -","0.000461796627290397","0.407030364837729","0.00247596035249604","cg11782208;cg10381813","4"
"HES4 Body","HES4 Island","1","+","0.00977101541383475","-0.116418601825119","-0.000640196980405849","cg17907238","3"
"HES4 TSS1500","HES4 Island","2","- +","0.0012375776139641","-0.0794168531876305","-0.0102099880289239","cg13468764;cg16578267","10"
"ISG15 Body","ISG15 Island","3","- - -","8.42679140912297e-08","0.548989780556696","-0.00596033010863051","cg20062691;cg03811829;cg04788999","4"
"AGRN 1stExon","AGRN Island","1","+","0.00172151266495054","-0.102724230226393","-0.00487914433292645","cg07008945","2"
"AGRN Body","AGRN S_Shelf","11","- + + + + + + + + - +","4.3579333226038e-07","-0.465672309869653","0.0162681453178792","cg13100600;cg07787977;cg02632261;cg25774148;cg17021880;cg02288964;cg02341264;cg17928920;cg14663984;cg15840462;cg18147233","76"
