"Gene Region","UCSC Region","nCpG","Sign","medQval","medBetaCoef","medDelta","cpgs","denominator"
"FAM41C TSS1500","FAM41C OpenSea","1","+","0.00604860388483918","-0.423772171435801","0.0500631110184194","cg18147296","4"
"FLJ39609 Body","FLJ39609 N_Shore","1","+","0.00206549067734106","-0.426616915769402","0.0393741644404752","cg19642727","3"
"FLJ39609 TSS1500","FLJ39609 S_Shore","1","+","0.00892218368111665","-0.368067629112224","0.0378025952755623","cg02565062","6"
"TNFRSF18 TSS1500","TNFRSF18 S_Shore","1","-","0.00815430253945607","0.54737408904053","-0.0309393820155648","cg00086243","4"
"ACAP3 Body","ACAP3 N_Shelf","1","+","0.00538765325886178","-0.353446716816664","0.0305584008630231","cg27185793","34"
"CPSF3L Body","CPSF3L Island","1","+","0.00627823404726629","-0.386306507123341","0.00478186995155166","cg15736449","23"
"VWA1 TSS1500","VWA1 N_Shore","1","-","0.0030523201682045","0.56483293319883","-0.100659595438997","cg21837069","6"
"ATAD3B Body","ATAD3B S_Shelf","1","+","0.00802989478528106","-0.457496554744624","0.0545703798122559","cg24378791","20"
"C1orf70 TSS1500","C1orf70 Island","1","+","0.00713260582168037","-0.81494521735023","0.074179579218422","cg18114463","8"
"SSU72 Body","SSU72 N_Shore","1","+","0.00385507634445953","-0.899021878572634","0.11384213465652","cg07426077","40"
"LOC728661 Body","LOC728661 S_Shore","1","+","0.00311330199898535","-0.46273251421063","0.0264190497664033","cg18288914","22"
"CDK11B Body","CDK11B S_Shore","1","+","0.00311330199898535","-0.46273251421063","0.0264190497664033","cg18288914","79"
"CDK11B 5'UTR","CDK11B S_Shore","1","+","0.00311330199898535","-0.46273251421063","0.0264190497664033","cg18288914","75"
"GABRD TSS200","GABRD Island","1","+","0.00750726316987914","-0.713344542807543","0.120227331051374","cg09107007","2"
"PRKCZ Body","PRKCZ OpenSea","1","+","0.00485226767779357","-1.1450014599498","0.17148922666527","cg15468976","258"
"C1orf86 5'UTR","C1orf86 N_Shore","1","+","0.00269927055067635","-0.945284224857882","0.120066133761949","cg14856698","14"
