"Gene Region","UCSC Region","nCpG","Sign","medQval","medBetaCoef","medDelta","cpgs","denominator"
"WASH5P Body","WASH5P OpenSea","1","-","0.00293460158444438","0.192262743343261","0.0127218948585299","cg13869341","2"
"LOC643837 Body","LOC643837 OpenSea","1","-","0.00504353671378281","0.183547544454441","0.0117390053303521","cg16736630","10"
"FAM41C Body","FAM41C N_Shore","2","- -","0.00413475187104788","0.36765975075324","0.0158872012176129","cg05898754;cg03128332","6"
"FAM41C TSS1500","FAM41C OpenSea","2","+ +","0.000326509392062089","-0.522073158861385","0.000737111531010288","cg18147296;cg05597748","4"
"FLJ39609 TSS200","FLJ39609 Island","5","- - - - -","0.000129944992908932","0.369969621855412","-0.00344935549433062","cg08029603;cg16347928;cg22699361;cg03890988;cg21786289","5"
"SAMD11 TSS1500","SAMD11 Island","2","+ +","0.00238212930930763","-0.302100979026595","0.00467292986614369","cg03725447;cg06091566","7"
"SAMD11 5'UTR","SAMD11 Island","1","+","0.00357658385838168","-0.245947593710475","0.0324379842513515","cg05527507","3"
"SAMD11 Body","SAMD11 S_Shore","16","+ - - - - + + - - - + - + + + +","7.13308957971639e-08","0.0220121230227227","0.00854345550947967","cg13856810;cg02896266;cg13806162;cg00976181;cg10711230;cg01727431;cg02439789;cg06036236;cg13904806;cg04121631;cg15896339;cg12454161;cg09988062;cg10827460;cg15742605;cg09756115","38"
"NOC2L 3'UTR","NOC2L S_Shore","1","+","0.00698874050279207","-0.25553465442811","0.0262207060564864","cg23731742","1"
"SAMD11 3'UTR","SAMD11 S_Shore","1","+","0.00698874050279207","-0.25553465442811","0.0262207060564864","cg23731742","1"
"NOC2L Body","NOC2L N_Shelf","8","- + + - - - - -","0.000315023247352885","0.164556553792666","0.00688725598960304","cg17153432;cg00113194;cg20322444;cg07983659;cg11733071;cg07701223;cg13060902;cg15684274","23"
"KLHL17 1stExon","KLHL17 Island","1","+","0.00401916859085744","-0.0664317169095852","0.00459711768852847","cg11132698","1"
"KLHL17 5'UTR","KLHL17 Island","1","+","0.00401916859085744","-0.0664317169095852","0.00459711768852847","cg11132698","1"
"NOC2L TSS1500","NOC2L Island","1","+","0.00401916859085744","-0.0664317169095852","0.00459711768852847","cg11132698","5"
"KLHL17 Body","KLHL17 Island","5","+ - - - -","5.89824950660538e-06","0.252791358861634","0.0100326580943114","cg09789536;cg07582955;cg07696918;cg11084308;cg03148373","16"
"PLEKHN1 TSS1500","PLEKHN1 Island","2","- +","3.14300933265515e-05","-0.071973999112414","0.0101405653357727","cg15648958;cg00328058","6"
"KLHL17 3'UTR","KLHL17 Island","2","- +","3.14300933265515e-05","-0.071973999112414","0.0101405653357727","cg15648958;cg00328058","3"
"PLEKHN1 TSS200","PLEKHN1 Island","1","-","1.56322454408778e-18","0.679455514733494","-0.00695980265746377","cg07390924","4"
"PLEKHN1 Body","PLEKHN1 Island","7","+ + + + + + +","8.93836579443988e-10","-0.580406665588454","0.0289919696834524","cg12536471;cg06324192;cg23207077;cg22381068;cg22481263;cg07195057;cg06818851","13"
"PLEKHN1 3'UTR","PLEKHN1 N_Shelf","1","+","5.16631891089696e-16","-0.627154502050152","0.0152310550404244","cg16352072","1"
"C1orf170 Body","C1orf170 S_Shore","4","- - - -","4.03326635289563e-11","0.637712853330893","0.00798073773550739","cg08843537;cg22699004;cg22599150;cg16349774","10"
"C1orf170 TSS1500","C1orf170 N_Shore","2","- -","0.000539601302658156","0.409506325190225","0.00247596035249604","cg11782208;cg10381813","4"
"HES4 TSS1500","HES4 Island","2","- +","0.00306214091772895","-0.089626841216554","-0.0102099880289239","cg13468764;cg16578267","10"
"ISG15 Body","ISG15 Island","3","- - -","3.13726978178387e-07","0.537577156602597","-0.00596033010863051","cg20062691;cg03811829;cg04788999","4"
"AGRN 1stExon","AGRN Island","1","+","0.000707417343782521","-0.107603374559319","-0.00487914433292645","cg07008945","2"
"AGRN Body","AGRN S_Shelf","14","- + + + + + + + + - + - + +","2.43655815551172e-06","-0.426604367279506","0.015743323471612","cg13100600;cg07787977;cg02632261;cg25774148;cg17021880;cg02288964;cg02341264;cg17928920;cg14663984;cg15840462;cg18147233;cg00525597;cg20594982;cg03790440","76"
