"Gene Region","UCSC Region","nCpG","Sign","medQval","medBetaCoef","medDelta","cpgs","denominator"
"SKI Body","SKI OpenSea","1","+","0.00544942618317938","-0.593849790328882","0.0249375244846464","cg01101178","123"
"CLSTN1 TSS200","CLSTN1 Island","1","+","0.00793305449369372","-0.879277061557722","0.159637671321231","cg24551579","8"
"NBPF1 5'UTR","NBPF1 N_Shore","1","+","0.00680078046506678","-1.12019698601267","0.0956801742147246","cg13384150","6"
"ZNF593 TSS200","ZNF593 Island","1","-","0.004394231271504","1.0400140619409","0.0818533041400581","cg16003040","6"
"MAP7D1 Body","MAP7D1 Island","1","+","0.00187363746897332","-0.494266726173189","0.070817670592371","cg01501018","22"
"MRPS15 TSS200","MRPS15 Island","1","-","0.00178930427475186","0.598731948583262","0.0547611713107647","cg23814129","4"
"MANEAL Body","MANEAL S_Shore","1","+","0.00285325605862381","-1.00604989328126","0.142011304312823","cg00664416","8"
"MANEAL 5'UTR","MANEAL S_Shore","1","+","0.00285325605862381","-1.00604989328126","0.142011304312823","cg00664416","2"
"MANEAL 1stExon","MANEAL S_Shore","1","+","0.00285325605862381","-1.00604989328126","0.142011304312823","cg00664416","4"
"ROR1 Body","ROR1 OpenSea","1","-","0.00913284050447993","0.708148459580636","-0.0620062531910839","cg05819223","58"
"PDE4B TSS1500","PDE4B N_Shore","1","+","0.00608048823197961","-0.728953901356131","0.127507556352765","cg22733910","13"
"ST6GALNAC5 TSS200","ST6GALNAC5 Island","1","+","0.00938661905677636","-0.779993618700456","0.108706596184467","cg16966815","6"
"RBMXL1 1stExon","RBMXL1 Island","1","-","0.00364879557028785","0.950221079492904","0.120099868742997","cg01423147","4"
"CCBL2 1stExon","CCBL2 Island","1","-","0.00364879557028785","0.950221079492904","0.120099868742997","cg01423147","4"
"CCBL2 5'UTR","CCBL2 Island","1","-","0.00364879557028785","0.950221079492904","0.120099868742997","cg01423147","13"
"RBMXL1 5'UTR","RBMXL1 Island","1","-","0.00364879557028785","0.950221079492904","0.120099868742997","cg01423147","8"
"GBP5 Body","GBP5 OpenSea","1","+","0.0079548212314048","-0.642711718356129","0.119464421788039","cg24400630","1"
"LRRC8D TSS1500","LRRC8D Island","1","-","0.000303323293720566","1.28999935723748","-0.122048302926845","cg08479976","8"
"BARHL2 TSS1500","BARHL2 Island","1","+","0.00742206689052833","-0.997029493679203","0.124160468741198","cg13939859","5"
"CNN3 Body","CNN3 N_Shore","1","+","0.0083862627029676","-0.793124581331068","0.099596938891182","cg24502126","18"
"LPPR4 TSS200","LPPR4 N_Shore","2","+ +","0.00510747585326317","-0.932587906395411","0.113210388258491","cg06060191;cg03646889","6"
"MOV10 TSS1500","MOV10 N_Shore","1","+","0.00826275368005131","-0.844562494848173","0.151575586052634","cg10114555","5"
"SYT6 5'UTR","SYT6 Island","1","+","0.00318494187010541","-0.924227882576836","0.12607226551172","cg09177131","9"
"SYT6 1stExon","SYT6 Island","1","+","0.00318494187010541","-0.924227882576836","0.12607226551172","cg09177131","3"
"TBX15 5'UTR","TBX15 N_Shore","1","+","0.00582038053133524","-1.59038996987741","0.0721743134974158","cg24475782","46"
"RAB13 1stExon","RAB13 OpenSea","1","+","0.00599449475797344","-1.22364788808699","0.174257034474534","cg26008365","1"
"RAB13 5'UTR","RAB13 OpenSea","1","+","0.00599449475797344","-1.22364788808699","0.174257034474534","cg26008365","1"
"RAB25 Body","RAB25 OpenSea","1","+","0.00374528516645012","-1.09661567534818","0.077502175774294","cg19406511","2"
"CD1D Body","CD1D Island","1","+","0.000882258002799415","-1.08965921156519","0.125485657782917","cg05338433","6"
"LOC400794 Body","LOC400794 OpenSea","1","-","0.00891880280364379","0.863092973427432","-0.0848502424477583","cg03454607","13"
"LRRC52 TSS1500","LRRC52 OpenSea","1","-","0.00891880280364379","0.863092973427432","-0.0848502424477583","cg03454607","3"
"LOC284688 TSS1500","LOC284688 OpenSea","1","-","0.00268570943777508","1.55122705745026","0.183435067240407","cg01057196","4"
"ACBD6 TSS1500","ACBD6 S_Shore","1","+","0.00678742466807652","-0.509558234506111","-0.00960886500897917","cg16358350","3"
"LHX9 Body","LHX9 Island","1","+","0.00220008604303688","-0.721505843577436","0.101840355624312","cg23620228","37"
"NEK7 5'UTR","NEK7 OpenSea","1","-","0.00800414080955899","0.583457918284509","-0.054856429342555","cg09372617","14"
"MAPKAPK2 Body","MAPKAPK2 OpenSea","1","-","0.00514920961486889","0.483681710683736","-0.0274551295649932","cg07369523","12"
"C1orf133 TSS200","C1orf133 Island","1","-","0.00215686689494225","0.994794609057565","-0.108572394044913","cg18265162","5"
"SERTAD4 5'UTR","SERTAD4 Island","1","-","0.00215686689494225","0.994794609057565","-0.108572394044913","cg18265162","15"
"GJC2 TSS200","GJC2 OpenSea","1","+","0.00977899695577707","-0.899533020679877","0.107175531066149","cg10950111","3"
"NID1 Body","NID1 N_Shore","1","+","0.000303323293720566","-1.05280334350004","0.0845022461910125","cg11228876","30"
"C2orf39 TSS200","C2orf39 Island","2","+ +","0.00634596940113795","-0.895571827128646","0.178082783493855","cg10883621;cg11525280","5"
"MAPRE3 5'UTR","MAPRE3 S_Shore","1","+","0.00636703934214558","-0.767852845562394","0.0992152163926785","cg25029561","13"
"SERTAD2 5'UTR","SERTAD2 N_Shore","1","-","0.00385667097422708","1.84548568186523","0.0781972717605708","cg11920737","10"
"ANTXR1 Body","ANTXR1 OpenSea","1","-","0.00732653723321656","0.759236389382587","-0.0415828367385972","cg22716949","42"
"DYSF TSS200","DYSF Island","1","+","0.00742206689052833","-0.935188326639888","0.0593543671625825","cg07161827","8"
"CNGA3 5'UTR","CNGA3 Island","1","+","0.00807394868953359","-0.767864026920952","0.0637545866316304","cg10583000","13"
"RFX8 5'UTR","RFX8 N_Shelf","1","-","0.00219457042380774","0.541367939262373","-0.124362954611031","cg14810242","10"
"UXS1 Body","UXS1 OpenSea","1","-","0.00717555560868053","0.778541427884368","-0.0901465976154037","cg20995188","23"
"GCC2 TSS200","GCC2 N_Shore","1","+","0.00484958630675401","-0.842531082386889","0.000437914355152058","cg13229453","3"
"FBLN7 Body","FBLN7 OpenSea","1","+","0.00473540403435972","-0.643385783576779","0.00863308010748254","cg17653411","27"
"NCKAP5 Body","NCKAP5 OpenSea","1","-","0.00823411527177288","1.50788474284783","0.161044382709285","cg18806033","50"
"KIF5C Body","KIF5C S_Shore","2","+ +","0.00465471028832725","-1.08214443419527","0.009802988952828","cg19532257;cg06118384","40"
